user_text,error_type,component_label,source,text
android phone not connecting to computer,Phone Connection Issue,,,android phone not connecting to computer
can not connect phone to pc,Phone Connection Issue,,,can not connect phone to pc
device not connecting to pc,Phone Connection Issue,,,device not connecting to pc
iphone not connecting to pc,Phone Connection Issue,,,iphone not connecting to pc
mobile phone not connecting to pc,Phone Connection Issue,,,mobile phone not connecting to pc
phone doesn't connect to pc,Phone Connection Issue,,,phone doesn't connect to pc
phone is not connecting to to the pc,Phone Connection Issue,,,phone is not connecting to to the pc
phone not connecting to computer,Phone Connection Issue,,,phone not connecting to computer
phone not connecting to pc,Phone Connection Issue,,,phone not connecting to pc
phone not detected by computer,Phone Connection Issue,,,phone not detected by computer
phone not recognized by pc,Phone Connection Issue,,,phone not recognized by pc
phone not showing on computer,Phone Connection Issue,,,phone not showing on computer
phone won't connect to pc,Phone Connection Issue,,,phone won't connect to pc
Applications stop responding,RAM Upgrade,,,applications stop responding
Apps freeze when switching desktops.,RAM Upgrade,,,apps freeze when switching desktops.
Blue screen when RAM reaches max usage,RAM Upgrade,,,blue screen when ram reaches max usage
Boot failure due to faulty RAM,RAM Upgrade,,,boot failure due to faulty ram
browser tabs closing automatically,RAM Upgrade,,,browser tabs closing automatically
Computer hang when multitask,RAM Upgrade,RAM Upgrade,real_world,computer hang when multitask
Computer not boot after RAM change,RAM Upgrade,RAM Upgrade,real_world,computer not boot after ram change
Excel or Photoshop crashes,RAM Upgrade,,,excel or photoshop crashes
Games crash randomly,RAM Upgrade,,,games crash randomly
Heavy lag when switching apps,RAM Upgrade,,,heavy lag when switching apps
Laptop blink screen no start,RAM Upgrade,RAM Upgrade,real_world_solutions,laptop blink screen no start
Laptop boot fail RAM,RAM Upgrade,RAM Upgrade,real_world,laptop boot fail ram
Laptop crash RAM issue,RAM Upgrade,RAM Upgrade,real_world,laptop crash ram issue
Laptop freeze multitask,RAM Upgrade,RAM Upgrade,real_world,laptop freeze multitask
Laptop lag RAM,RAM Upgrade,RAM Upgrade,real_world,laptop lag ram
Laptop RAM heating,RAM Upgrade,RAM Upgrade,real_world,laptop ram heating
Laptop RAM not detected,RAM Upgrade,,,laptop ram not detected
Laptop RAM not showing,RAM Upgrade,RAM Upgrade,real_world,laptop ram not showing
Laptop RAM upgrade fail,RAM Upgrade,RAM Upgrade,real_world,laptop ram upgrade fail
Laptop restart RAM,RAM Upgrade,RAM Upgrade,real_world,laptop restart ram
Laptop slow browsing,RAM Upgrade,RAM Upgrade,real_world,laptop slow browsing
Laptop slow multitask,RAM Upgrade,RAM Upgrade,real_world_solutions,laptop slow multitask
Memory corrupted,RAM Upgrade,RAM Upgrade,real_world,memory corrupted
Memory error message,RAM Upgrade,RAM Upgrade,real_world,memory error message
Memory error popup,RAM Upgrade,RAM Upgrade,real_world,memory error popup
Memory issue windows,RAM Upgrade,RAM Upgrade,real_world,memory issue windows
Memory leak in background processes,RAM Upgrade,,,memory leak in background processes
Memory slot not working,RAM Upgrade,RAM Upgrade,real_world,memory slot not working
Memory usage high,RAM Upgrade,RAM Upgrade,real_world,memory usage high
Memory usage reaches 90% on idle,RAM Upgrade,,,memory usage reaches 90% on idle
Multiple apps freeze when I try to multitask.,RAM Upgrade,,,multiple apps freeze when i try to multitask.
My PC freezes when I open multiple Chrome tabs.,RAM Upgrade,,,my pc freezes when i open multiple chrome tabs.
need more ram for chrome tabs and multitasking,RAM Upgrade,,,need more ram for chrome tabs and multitasking
Only half RAM usable,RAM Upgrade,,,only half ram usable
PC beep continuous,RAM Upgrade,RAM Upgrade,real_world,pc beep continuous
PC beep sound,RAM Upgrade,RAM Upgrade,real_world,pc beep sound
PC boot fail RAM,RAM Upgrade,RAM Upgrade,real_world,pc boot fail ram
PC boot fail random,RAM Upgrade,RAM Upgrade,real_world_solutions,pc boot fail random
PC cannot detect RAM sticks after cleaning.,RAM Upgrade,,,pc cannot detect ram sticks after cleaning.
PC crash gaming RAM,RAM Upgrade,RAM Upgrade,real_world,pc crash gaming ram
PC crashes with memory management BSOD,RAM Upgrade,,,pc crashes with memory management bsod
PC freeze after some time,RAM Upgrade,RAM Upgrade,real_world,pc freeze after some time
PC freeze heavy apps,RAM Upgrade,RAM Upgrade,real_world,pc freeze heavy apps
PC freeze multitask,RAM Upgrade,RAM Upgrade,real_world_solutions,pc freeze multitask
PC freeze open browser,RAM Upgrade,RAM Upgrade,real_world,pc freeze open browser
PC hang after boot,RAM Upgrade,RAM Upgrade,real_world,pc hang after boot
PC hang after install RAM,RAM Upgrade,RAM Upgrade,real_world,pc hang after install ram
PC hang multitask,RAM Upgrade,RAM Upgrade,real_world_solutions,pc hang multitask
PC hang open software,RAM Upgrade,RAM Upgrade,real_world,pc hang open software
PC lag background apps,RAM Upgrade,RAM Upgrade,real_world,pc lag background apps
PC lag memory,RAM Upgrade,RAM Upgrade,real_world,pc lag memory
PC lag memory leak,RAM Upgrade,RAM Upgrade,real_world,pc lag memory leak
PC lag multitask,RAM Upgrade,RAM Upgrade,real_world_solutions,pc lag multitask
PC memory spike,RAM Upgrade,RAM Upgrade,real_world,pc memory spike
PC no boot after RAM,RAM Upgrade,RAM Upgrade,real_world_solutions,pc no boot after ram
PC no boot beep,RAM Upgrade,RAM Upgrade,real_world_solutions,pc no boot beep
PC no display RAM,RAM Upgrade,RAM Upgrade,real_world,pc no display ram
PC not start RAM,RAM Upgrade,RAM Upgrade,real_world,pc not start ram
PC restart after RAM touch,RAM Upgrade,RAM Upgrade,real_world,pc restart after ram touch
PC restart again and again,RAM Upgrade,RAM Upgrade,real_world_solutions,pc restart again and again
PC restart randomly,RAM Upgrade,RAM Upgrade,real_world,pc restart randomly
PC restart under load,RAM Upgrade,RAM Upgrade,real_world,pc restart under load
PC restart when open apps,RAM Upgrade,RAM Upgrade,real_world,pc restart when open apps
PC restarts when using too many apps,RAM Upgrade,,,pc restarts when using too many apps
PC slow after adding RAM,RAM Upgrade,RAM Upgrade,real_world,pc slow after adding ram
PC slow after sleep,RAM Upgrade,RAM Upgrade,real_world,pc slow after sleep
PC slow memory issue,RAM Upgrade,RAM Upgrade,real_world,pc slow memory issue
PC stuck after RAM upgrade,RAM Upgrade,RAM Upgrade,real_world,pc stuck after ram upgrade
PC stutter memory,RAM Upgrade,RAM Upgrade,real_world,pc stutter memory
RAM conflict problem,RAM Upgrade,RAM Upgrade,real_world,ram conflict problem
RAM error blue screen,RAM Upgrade,RAM Upgrade,comprehensive_test,ram error blue screen
RAM error on startup,RAM Upgrade,RAM Upgrade,real_world,ram error on startup
RAM fail boot,RAM Upgrade,RAM Upgrade,real_world,ram fail boot
RAM issue maybe,RAM Upgrade,RAM Upgrade,real_world,ram issue maybe
RAM loose problem,RAM Upgrade,RAM Upgrade,real_world,ram loose problem
RAM mismatch problem,RAM Upgrade,RAM Upgrade,real_world,ram mismatch problem
RAM not compatible,RAM Upgrade,RAM Upgrade,real_world,ram not compatible
RAM not detected,RAM Upgrade,RAM Upgrade,real_world,ram not detected
RAM overuse problem,RAM Upgrade,RAM Upgrade,real_world,ram overuse problem
RAM problem after clean,RAM Upgrade,RAM Upgrade,real_world,ram problem after clean
RAM slot dead,RAM Upgrade,RAM Upgrade,real_world,ram slot dead
RAM slot not working,RAM Upgrade,,,ram slot not working
RAM slot problem,RAM Upgrade,RAM Upgrade,real_world,ram slot problem
RAM speed issue,RAM Upgrade,RAM Upgrade,real_world,ram speed issue
Random reboots with no error,RAM Upgrade,,,random reboots with no error
System beeps indicating memory error,RAM Upgrade,,,system beeps indicating memory error
System crash heavy use,RAM Upgrade,RAM Upgrade,real_world,system crash heavy use
System crash when multitask,RAM Upgrade,RAM Upgrade,real_world,system crash when multitask
System memory low,RAM Upgrade,RAM Upgrade,real_world,system memory low
System not stable RAM,RAM Upgrade,RAM Upgrade,real_world,system not stable ram
System unstable RAM,RAM Upgrade,RAM Upgrade,real_world,system unstable ram
Virtual memory warning,RAM Upgrade,,,virtual memory warning
Apps open very slowly on startup.,SSD Upgrade,,,apps open very slowly on startup.
Clicking noise is coming from inside the computer.,SSD Upgrade,,,clicking noise is coming from inside the computer.
Clicking on apps takes too long to respond.,SSD Upgrade,,,clicking on apps takes too long to respond.
Computer cannot detect secondary hard drive.,SSD Upgrade,,,computer cannot detect secondary hard drive.
Computer takes too long to start Windows.,SSD Upgrade,,,computer takes too long to start windows.
Disk bad sector,SSD Upgrade,SSD Upgrade,real_world,disk bad sector
Disk drive missing,SSD Upgrade,SSD Upgrade,real_world,disk drive missing
Disk error blue screen,SSD Upgrade,SSD Upgrade,real_world,disk error blue screen
Disk error message,SSD Upgrade,SSD Upgrade,real_world,disk error message
Disk error startup,SSD Upgrade,SSD Upgrade,real_world,disk error startup
Disk full always,SSD Upgrade,SSD Upgrade,real_world,disk full always
Disk not accessible,SSD Upgrade,SSD Upgrade,real_world,disk not accessible
Disk not formatted,SSD Upgrade,SSD Upgrade,real_world,disk not formatted
Disk not mounting,SSD Upgrade,SSD Upgrade,real_world,disk not mounting
Disk partition missing,SSD Upgrade,SSD Upgrade,real_world,disk partition missing
Disk read error,SSD Upgrade,SSD Upgrade,real_world,disk read error
Disk repair loop,SSD Upgrade,SSD Upgrade,real_world,disk repair loop
Disk usage 100%,SSD Upgrade,SSD Upgrade,real_world,disk usage 100%
Disk usage stays at 100%,SSD Upgrade,,,disk usage stays at 100%
File transfer freezes randomly,SSD Upgrade,,,file transfer freezes randomly
File transfers are extremely slow.,SSD Upgrade,,,file transfers are extremely slow.
Files take too long to copy,SSD Upgrade,,,files take too long to copy
Game installed on HDD loads very slowly,SSD Upgrade,,,game installed on hdd loads very slowly
Games take forever to load.,SSD Upgrade,,,games take forever to load.
Hard disk error,SSD Upgrade,SSD Upgrade,real_world,hard disk error
Hard disk noise,SSD Upgrade,SSD Upgrade,real_world,hard disk noise
Hard drive fail maybe,SSD Upgrade,SSD Upgrade,real_world,hard drive fail maybe
HDD click sound,SSD Upgrade,SSD Upgrade,real_world,hdd click sound
HDD extremely noisy,SSD Upgrade,,,hdd extremely noisy
HDD making sound,SSD Upgrade,SSD Upgrade,real_world,hdd making sound
HDD very slow,SSD Upgrade,SSD Upgrade,real_world,hdd very slow
Laptop disk overheating,SSD Upgrade,SSD Upgrade,real_world,laptop disk overheating
Laptop disk slow,SSD Upgrade,SSD Upgrade,real_world,laptop disk slow
Laptop freeze disk,SSD Upgrade,SSD Upgrade,real_world,laptop freeze disk
Laptop lag boot,SSD Upgrade,SSD Upgrade,real_world_solutions,laptop lag boot
Laptop not boot SSD,SSD Upgrade,SSD Upgrade,real_world,laptop not boot ssd
Laptop slow boot,SSD Upgrade,SSD Upgrade,real_world_solutions,laptop slow boot
Not enough storage to install apps,SSD Upgrade,,,not enough storage to install apps
Partition missing after restart,SSD Upgrade,,,partition missing after restart
PC crash disk use,SSD Upgrade,SSD Upgrade,real_world,pc crash disk use
PC crash file move,SSD Upgrade,SSD Upgrade,real_world,pc crash file move
PC delay click,SSD Upgrade,SSD Upgrade,real_world_solutions,pc delay click
PC disk corrupted,SSD Upgrade,SSD Upgrade,real_world,pc disk corrupted
PC disk fail,SSD Upgrade,SSD Upgrade,real_world,pc disk fail
