user_text,error_type
monitor is black but pc is running,No Display / No Signal
screen says no signal,No Display / No Signal
screen turns on then goes black,No Display / No Signal
no display on monitor,No Display / No Signal
monitor black but computer running,No Display / No Signal
screen black but pc on,No Display / No Signal
no signal on monitor,No Display / No Signal
monitor shows no signal,No Display / No Signal
display black but system running,No Display / No Signal
screen displays no signal,No Display / No Signal
monitor no signal error,No Display / No Signal
no signal message on screen,No Display / No Signal
black screen but pc running,No Display / No Signal
monitor lights up then black,No Display / No Signal
screen flashes then black,No Display / No Signal
monitor is black but pc is running 0,No Display / No Signal
monitor is black but pc is running problem,No Display / No Signal
my monitor is black but pc is running,No Display / No Signal
monitor is black but pc is running 10,No Display / No Signal
monitor is black but pc is running 20,No Display / No Signal
monitor is black but pc is running 30,No Display / No Signal
monitor is black but pc is running 40,No Display / No Signal
monitor is black but pc is running 50,No Display / No Signal
monitor is black but pc is running 60,No Display / No Signal
monitor is black but pc is running 70,No Display / No Signal
monitor is black but pc is running 80,No Display / No Signal
monitor is black but pc is running 90,No Display / No Signal
monitor is black but pc is running 100,No Display / No Signal
monitor is black but pc is running 110,No Display / No Signal
monitor is black but pc is running 120,No Display / No Signal
monitor is black but pc is running 130,No Display / No Signal
monitor is black but pc is running 140,No Display / No Signal
monitor is black but pc is running 150,No Display / No Signal
monitor is black but pc is running 160,No Display / No Signal
monitor is black but pc is running 170,No Display / No Signal
monitor is black but pc is running 180,No Display / No Signal
monitor is black but pc is running 190,No Display / No Signal
monitor is black but pc is running 200,No Display / No Signal
monitor is black but pc is running 210,No Display / No Signal
monitor is black but pc is running 220,No Display / No Signal
monitor is black but pc is running 230,No Display / No Signal
monitor is black but pc is running 240,No Display / No Signal
monitor is black but pc is running 250,No Display / No Signal
monitor is black but pc is running 260,No Display / No Signal
monitor is black but pc is running 270,No Display / No Signal
monitor is black but pc is running 280,No Display / No Signal
monitor is black but pc is running 290,No Display / No Signal
monitor is black but pc is running 300,No Display / No Signal
monitor is black but pc is running 310,No Display / No Signal
monitor is black but pc is running 320,No Display / No Signal
monitor is black but pc is running 330,No Display / No Signal
monitor is black but pc is running 340,No Display / No Signal
monitor is black but pc is running 350,No Display / No Signal
monitor is black but pc is running 360,No Display / No Signal
monitor is black but pc is running 370,No Display / No Signal
monitor is black but pc is running 380,No Display / No Signal
monitor is black but pc is running 390,No Display / No Signal
monitor is black but pc is running 400,No Display / No Signal
monitor is black but pc is running 410,No Display / No Signal
monitor is black but pc is running 420,No Display / No Signal
monitor is black but pc is running 430,No Display / No Signal
monitor is black but pc is running 440,No Display / No Signal
monitor is black but pc is running 450,No Display / No Signal
monitor is black but pc is running 460,No Display / No Signal
monitor is black but pc is running 470,No Display / No Signal
monitor is black but pc is running 480,No Display / No Signal
monitor is black but pc is running 490,No Display / No Signal
monitor is black but pc is running 500,No Display / No Signal
monitor is black but pc is running 510,No Display / No Signal
monitor is black but pc is running 520,No Display / No Signal
monitor is black but pc is running 530,No Display / No Signal
monitor is black but pc is running 540,No Display / No Signal
monitor is black but pc is running 550,No Display / No Signal
monitor is black but pc is running 560,No Display / No Signal
monitor is black but pc is running 570,No Display / No Signal
monitor is black but pc is running 580,No Display / No Signal
monitor is black but pc is running 590,No Display / No Signal
monitor is black but pc is running 600,No Display / No Signal
monitor is black but pc is running 610,No Display / No Signal
monitor is black but pc is running 620,No Display / No Signal
monitor is black but pc is running 630,No Display / No Signal
monitor is black but pc is running 640,No Display / No Signal
monitor is black but pc is running 650,No Display / No Signal
monitor is black but pc is running 660,No Display / No Signal
monitor is black but pc is running 670,No Display / No Signal
monitor is black but pc is running 680,No Display / No Signal
monitor is black but pc is running 690,No Display / No Signal
monitor is black but pc is running 700,No Display / No Signal
monitor is black but pc is running 710,No Display / No Signal
monitor is black but pc is running 720,No Display / No Signal
monitor is black but pc is running 730,No Display / No Signal
monitor is black but pc is running 740,No Display / No Signal
monitor is black but pc is running 750,No Display / No Signal
monitor is black but pc is running 760,No Display / No Signal
monitor is black but pc is running 770,No Display / No Signal
monitor is black but pc is running 780,No Display / No Signal
monitor is black but pc is running 790,No Display / No Signal
monitor is black but pc is running 800,No Display / No Signal
monitor is black but pc is running 810,No Display / No Signal
monitor is black but pc is running 820,No Display / No Signal
monitor is black but pc is running 830,No Display / No Signal
monitor is black but pc is running 840,No Display / No Signal
monitor is black but pc is running 850,No Display / No Signal
monitor is black but pc is running 860,No Display / No Signal
monitor is black but pc is running 870,No Display / No Signal
monitor is black but pc is running 880,No Display / No Signal
monitor is black but pc is running 890,No Display / No Signal
monitor is black but pc is running 900,No Display / No Signal
monitor is black but pc is running 910,No Display / No Signal
monitor is black but pc is running 920,No Display / No Signal
monitor is black but pc is running 930,No Display / No Signal
monitor is black but pc is running 940,No Display / No Signal
