user_text,error_type,component_label,source
GPU overheat warning also PC very slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC can't connect WiFi and USB not detected,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
help graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc not start after update problem,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC no signal display Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Graphics card thermal throttle plus Computer slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
the computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
No internet on PC also Port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
usb device not recognized problem,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
Power button not working also Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
the usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
PC not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
graphics card fan loud problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
help no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC start noise then off Boot failure Monitor no signal,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
computer pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC no display HDMI also Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
the gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card overheating issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU cooling problem also Computer slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC shutdown suddenly PC stuck BIOS Monitor no signal,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc slow loading programs please,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
USB device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
PC can't connect WiFi and USB port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
my pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU temperature high and System slow overall,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
"PC restart again and again, PC stuck loading, PC no display VGA",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC power flicker also Computer stuck booting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC no display VGA and Game lag graphics,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Windows crash suddenly Boot failure,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
SSD upgrade needed Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
"PC shutdown suddenly, PC not boot, Monitor no signal",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC not detect WiFi plus USB device not recognized,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
"Graphics card thermal throttle, System slow",GPU Overheat,GPU Overheat,auto_corrected_from_test
PC shutdown suddenly also PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc not start after update issue,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
WiFi connected no internet and USB port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
computer gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc no display hdmi problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC start noise then off plus Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
the gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
GPU temperature high PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC not detect WiFi Port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
Graphics card too hot also PC slow performance,GPU Overheat,GPU Overheat,auto_corrected_from_test
help gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Power button not working and PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
graphics card fan loud please,GPU Overheat,GPU Overheat,auto_corrected_from_test
"CPU shutdown due to heat, System sluggish",CPU Overheat,CPU Overheat,auto_corrected_from_test
PC no signal plus Graphics card not detect,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
GPU cooling problem also PC slow after update,GPU Overheat,GPU Overheat,auto_corrected_from_test
USB device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
gpu thermal issue please,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC shutdown suddenly Boot failure PC no display VGA,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
laptop gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no signal plus Low FPS problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
No display also GPU bottleneck,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
computer gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
fix cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
CPU shutdown due to heat and PC very slow,CPU Overheat,CPU Overheat,auto_corrected_from_test
PC not turning on also PC stuck on logo,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC start only sometimes also Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC restart again and again PC stuck on logo PC no display VGA,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
fix usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
the gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
cpu shutdown due to heat,CPU Overheat,CPU Overheat,auto_corrected_from_test
GPU fan not working PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no display HDMI also GPU bottleneck,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
No display plus GPU too weak,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
the usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
gpu shutdown due to heat problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc no display hdmi problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
help gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
Windows crash loop also PC stuck on logo,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
help pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
GPU thermal issue plus Computer slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc no display hdmi issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu thermal issue problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU cooling problem also PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
the gpu cooling problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
Monitor no signal Need better graphics card,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC slow boot Windows not starting,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
PC restart again and again PC not start after update PC no display HDMI,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
my pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu cooling problem please,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC power flicker and Windows not starting and PC no display VGA,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
computer usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
gpu fan not working please,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC slow boot and Windows not starting,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
laptop graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
Graphics card too hot PC very unresponsive,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card too hot problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
no display issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
cpu shutdown due to heat please,CPU Overheat,CPU Overheat,auto_corrected_from_test
PC power flicker and Computer stuck booting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
fix pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
Storage too slow also Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
fix graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc power flicker please,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
Monitor no signal and Graphics card upgrade needed,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Windows crash loop also PC not start after update,Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
my gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card fan loud please,GPU Overheat,GPU Overheat,auto_corrected_from_test
help pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
computer pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc no display hdmi problem,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
"Laptop charging light blink, Windows not starting",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
gpu cooling problem issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
fix computer problem,General Repair,General Repair,auto_corrected_from_test
the gpu temperature high,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
the pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC not turning on also Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC shutdown suddenly also Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
Graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
Laptop charging light blink and Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
computer graphics card too hot,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU thermal issue and System sluggish,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu fan not working issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC start then off and Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
gpu overheat warning please,GPU Overheat,GPU Overheat,auto_corrected_from_test
the gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
Power button not working also Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
"PC not detect WiFi, USB port not working",Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
my gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
graphics card fan loud problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
No display GPU bottleneck,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
fix graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
USB device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
CPU shutdown due to heat also System sluggish,CPU Overheat,CPU Overheat,auto_corrected_from_test
"GPU temperature high, PC very slow",GPU Overheat,GPU Overheat,auto_corrected_from_test
"PC shutdown suddenly, PC stuck startup repair, PC no display HDMI",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
laptop pc not boot,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
computer graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
No internet on PC plus Port not working,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
"PC no display HDMI, GPU bottleneck",No Display / No Signal,No Display / No Signal,auto_corrected_from_test
computer no display,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
"WiFi connected no internet, USB device not recognized",Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
no display issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
my graphics card thermal throttle,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
usb device not recognized problem,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
laptop pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
gpu fan not working please,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
computer gpu overheat warning,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
pc no display vga issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
laptop pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
gpu shutdown due to heat please,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc no display hdmi,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
graphics card fan loud,GPU Overheat,GPU Overheat,auto_corrected_from_test
laptop pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
fix graphics card overheating,GPU Overheat,GPU Overheat,auto_corrected_from_test
"PC not turning on, Windows not starting, PC on blank screen",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
gpu cooling problem please,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
laptop pc not start after update,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
PC no display HDMI,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
PC restart again and again plus Windows not starting,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
PC not turning on also Boot failure,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
the gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
WiFi connected no internet and USB device not recognized,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
PC slow boot PC stuck on logo,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
computer gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
"GPU cooling problem, PC lag always",GPU Overheat,GPU Overheat,auto_corrected_from_test
help pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
Graphics card fan loud plus PC lag always,GPU Overheat,GPU Overheat,auto_corrected_from_test
computer gpu thermal issue,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC can't connect WiFi plus USB device not recognized,Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
Graphics card too hot plus PC slow after update,GPU Overheat,GPU Overheat,auto_corrected_from_test
CPU shutdown due to heat and System slow and RAM not enough,CPU Overheat,CPU Overheat,auto_corrected_from_test
no display please,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
my gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
"Storage upgrade required, Windows not starting",SSD Upgrade,SSD Upgrade,auto_corrected_from_test
PC no signal display and Graphics card not detect,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
pc slow loading programs please,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
"No internet on PC, USB device not recognized",Wi-Fi Adapter Upgrade,Wi-Fi Adapter Upgrade,auto_corrected_from_test
PC power flicker also PC not start after update,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
help pc slow loading programs,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
graphics card too hot please,GPU Overheat,GPU Overheat,auto_corrected_from_test
gpu shutdown due to heat problem,GPU Overheat,GPU Overheat,auto_corrected_from_test
the usb device not recognized,USB / Port Issue,USB / Port Issue,auto_corrected_from_test
PC power flicker plus PC not boot,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
help gpu shutdown due to heat,GPU Overheat,GPU Overheat,auto_corrected_from_test
GPU shutdown due to heat PC very slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
pc power flicker,PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
"Windows crash suddenly, PC stuck on logo",Blue Screen (BSOD),Blue Screen (BSOD),auto_corrected_from_test
Graphics card too hot and PC very slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
PC no display VGA GPU bottleneck,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
cpu shutdown due to heat problem,CPU Overheat,CPU Overheat,auto_corrected_from_test
"PC not turning on, Boot failure",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
"PC power flicker, PC stuck startup repair, PC on blank screen",PSU / Power Issue,PSU / Power Issue,auto_corrected_from_test
SSD upgrade needed also Boot failure,SSD Upgrade,SSD Upgrade,auto_corrected_from_test
gpu shutdown due to heat please,GPU Overheat,GPU Overheat,auto_corrected_from_test
no display issue,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
computer stuck booting,Windows Boot Failure,Windows Boot Failure,auto_corrected_from_test
pc pc no display vga,No Display / No Signal,No Display / No Signal,auto_corrected_from_test
GPU cooling problem plus Computer slow,GPU Overheat,GPU Overheat,auto_corrected_from_test
cpu shutdown due to heat please,CPU Overheat,CPU Overheat,auto_corrected_from_test
computer gpu fan not working,GPU Overheat,GPU Overheat,auto_corrected_from_test
