user_text,component_label,source
GPU hot when gaming Computer slow,GPU Overheat,auto_corrected_from_test
CPU overheating Computer slow,CPU Overheat,auto_corrected_from_test
SSD performance also PC not start after update,SSD Upgrade,auto_corrected_from_test
No power at all and PC stuck loading and PC no display HDMI,PSU / Power Issue,auto_corrected_from_test
pc slow loading programs issue,SSD Upgrade,auto_corrected_from_test
my bsod error,Blue Screen (BSOD),auto_corrected_from_test
pc very unresponsive issue,Slow Performance,auto_corrected_from_test
pc gpu overheat warning,GPU Overheat,auto_corrected_from_test
PC can't connect WiFi USB connection issue,Wi-Fi Adapter Upgrade,auto_corrected_from_test
pc usb port not working,USB / Port Issue,auto_corrected_from_test
pc system sluggish,Slow Performance,auto_corrected_from_test
pc pc stuck on logo,Windows Boot Failure,auto_corrected_from_test
laptop monitor not detected,No Display / No Signal,auto_corrected_from_test
my something wrong pc,General Repair,auto_corrected_from_test
laptop pc very unresponsive,Slow Performance,auto_corrected_from_test
PC on blank screen plus Need better graphics card,No Display / No Signal,auto_corrected_from_test
fix pc no signal display,No Display / No Signal,auto_corrected_from_test
computer usb not working,USB / Port Issue,auto_corrected_from_test
Screen black PC on and Graphics not good enough,No Display / No Signal,auto_corrected_from_test
"CPU shutdown due to heat, Computer slow, Memory insufficient",CPU Overheat,auto_corrected_from_test
pc usb connection issue,USB / Port Issue,auto_corrected_from_test
phone not connecting issue,Phone Connection Issue,auto_corrected_from_test
PC not start after update,Windows Boot Failure,auto_corrected_from_test
pc internet not working,Wi-Fi Adapter Upgrade,auto_corrected_from_test
phone not detected problem,Phone Connection Issue,auto_corrected_from_test
Phone USB issue,Phone Connection Issue,auto_corrected_from_test
pc port not working,USB / Port Issue,auto_corrected_from_test
fix power button not working,PSU / Power Issue,auto_corrected_from_test
pc stuck bios please,Windows Boot Failure,auto_corrected_from_test
internet slow only pc,Wi-Fi Adapter Upgrade,auto_corrected_from_test
my system slow,Slow Performance,auto_corrected_from_test
fix phone not recognized,Phone Connection Issue,auto_corrected_from_test
my pc beep sound,RAM Upgrade,auto_corrected_from_test
pc wifi very slow pc,Wi-Fi Adapter Upgrade,auto_corrected_from_test
CPU fan not spinning plus PC slow after update,CPU Overheat,auto_corrected_from_test
fix usb device not recognized,USB / Port Issue,auto_corrected_from_test
Storage upgrade required also PC not start after update,SSD Upgrade,auto_corrected_from_test
pc not detect wifi problem,Wi-Fi Adapter Upgrade,auto_corrected_from_test
memory upgrade needed,RAM Upgrade,auto_corrected_from_test
phone connection problem,Phone Connection Issue,auto_corrected_from_test
PC no display VGA,No Display / No Signal,auto_corrected_from_test
Power button not working PC not boot,PSU / Power Issue,auto_corrected_from_test
computer pc not working,General Repair,auto_corrected_from_test
PC no display VGA also Low FPS problem,No Display / No Signal,auto_corrected_from_test
pc shutdown suddenly,PSU / Power Issue,auto_corrected_from_test
memory upgrade needed issue,RAM Upgrade,auto_corrected_from_test
pc not boot issue,Windows Boot Failure,auto_corrected_from_test
fix gpu overheat warning,GPU Overheat,auto_corrected_from_test
pc pc no display hdmi,No Display / No Signal,auto_corrected_from_test
processor too hot,CPU Overheat,auto_corrected_from_test
Phone USB issue,Phone Connection Issue,auto_corrected_from_test
the port not working,USB / Port Issue,auto_corrected_from_test
laptop pc very slow,Slow Performance,auto_corrected_from_test
my pc not detect wifi,Wi-Fi Adapter Upgrade,auto_corrected_from_test
usb not detected problem,USB / Port Issue,auto_corrected_from_test
No internet on PC plus USB connection issue,Wi-Fi Adapter Upgrade,auto_corrected_from_test
the cpu overheating,CPU Overheat,auto_corrected_from_test
