user_text,error_type,component_label,source
My PC not turning on,PSU / Power Issue,PSU / Power Issue,real_world
Computer no power,PSU / Power Issue,PSU / Power Issue,real_world
PC dead suddenly,PSU / Power Issue,PSU / Power Issue,real_world
Power button not working,PSU / Power Issue,PSU / Power Issue,real_world
PC not start after power cut,PSU / Power Issue,PSU / Power Issue,real_world
PC start then off,PSU / Power Issue,PSU / Power Issue,real_world
Computer restart again again,PSU / Power Issue,PSU / Power Issue,real_world
PC stuck black screen,No Display / No Signal,No Display / No Signal,real_world
Nothing show on monitor,No Display / No Signal,No Display / No Signal,real_world
PC fan spin but no display,No Display / No Signal,No Display / No Signal,real_world
Laptop not start,Windows Boot Failure,Windows Boot Failure,real_world
PC light on but screen black,No Display / No Signal,No Display / No Signal,real_world
PC not boot,Windows Boot Failure,Windows Boot Failure,real_world
Computer stuck at logo,Windows Boot Failure,Windows Boot Failure,real_world
PC shutdown suddenly,PSU / Power Issue,PSU / Power Issue,real_world
System not starting,Windows Boot Failure,Windows Boot Failure,real_world
PC start slow then off,PSU / Power Issue,PSU / Power Issue,real_world
Laptop dead no charging,PSU / Power Issue,PSU / Power Issue,real_world
PC no response,PSU / Power Issue,PSU / Power Issue,real_world
Power supply problem maybe,PSU / Power Issue,PSU / Power Issue,real_world
PC restart loop,Windows Boot Failure,Windows Boot Failure,real_world
PC start beep sound,RAM Upgrade,RAM Upgrade,real_world
Computer not wake up,Windows Boot Failure,Windows Boot Failure,real_world
PC on but keyboard light off,Windows Boot Failure,Windows Boot Failure,real_world
Monitor on but PC not,PSU / Power Issue,PSU / Power Issue,real_world
PC off when press power,PSU / Power Issue,PSU / Power Issue,real_world
Laptop power light blink,PSU / Power Issue,PSU / Power Issue,real_world
PC not start after update,Windows Boot Failure,Windows Boot Failure,real_world
Computer stuck booting,Windows Boot Failure,Windows Boot Failure,real_world
PC no signal,No Display / No Signal,No Display / No Signal,real_world
PC stuck loading,Windows Boot Failure,Windows Boot Failure,real_world
Computer not boot after clean,Windows Boot Failure,Windows Boot Failure,real_world
PC restart when login,Windows Boot Failure,Windows Boot Failure,real_world
PC start but freeze,Windows Boot Failure,Windows Boot Failure,real_world
System not responding on start,Windows Boot Failure,Windows Boot Failure,real_world
