user_text,error_type,component_label,source
PC not turning on,PSU / Power Issue,PSU / Power Issue,real_world_solutions
No power at all,PSU / Power Issue,PSU / Power Issue,real_world_solutions
Power button not working,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC dead after power cut,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC start then off,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC restart again and again,RAM Upgrade,RAM Upgrade,real_world_solutions
PC stuck black screen,Windows Boot Failure,Windows Boot Failure,real_world_solutions
Fan spin no display,No Display / No Signal,No Display / No Signal,real_world_solutions
Laptop not start,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC stuck on logo,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC no signal,No Display / No Signal,No Display / No Signal,real_world_solutions
PC beep sound,RAM Upgrade,RAM Upgrade,real_world_solutions
PC start slow then freeze,Slow Performance,Slow Performance,real_world_solutions
PC off suddenly,CPU Overheat,CPU Overheat,real_world_solutions
PC start only sometimes,PSU / Power Issue,PSU / Power Issue,real_world_solutions
Laptop charging light blink,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC not boot,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC boot loop,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC on but keyboard dead,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC stuck loading,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC restart on login,Driver Issue,Driver Issue,real_world_solutions
PC no response,General Repair,General Repair,real_world_solutions
PC power flicker,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC dead after rain,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC start noise then off,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC stuck BIOS,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC no display HDMI,No Display / No Signal,No Display / No Signal,real_world_solutions
Laptop not waking,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC fail start,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC not shutdown,General Repair,General Repair,real_world_solutions
Laptop battery not charging,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC power delay,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC auto shutdown,CPU Overheat,CPU Overheat,real_world_solutions
PC no power button light,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC freeze startup,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC restart after update,General Repair,General Repair,real_world_solutions
PC no boot device,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC stuck repair loop,Windows Boot Failure,Windows Boot Failure,real_world_solutions
Laptop dead battery,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC crash startup,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC off when press power,General Repair,General Repair,real_world_solutions
PC not start after clean,General Repair,General Repair,real_world_solutions
PC power noise,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC stuck welcome screen,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC on blank screen,No Display / No Signal,No Display / No Signal,real_world_solutions
Laptop power drain fast,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC no power after move,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC start but no OS,OS Reinstall / Corrupted,OS Reinstall / Corrupted,real_world_solutions
PC freeze BIOS,Slow Performance,Slow Performance,real_world_solutions
PC no boot beep,RAM Upgrade,RAM Upgrade,real_world_solutions
Laptop not turn on,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC stuck spinning dots,Windows Boot Failure,Windows Boot Failure,real_world_solutions
PC restart while boot,PSU / Power Issue,PSU / Power Issue,real_world_solutions
PC not respond startup,Windows Boot Failure,Windows Boot Failure,real_world_solutions
